Name,Spot Move,Vol Move,Market Cap,Pct ADV,6d RV
AAPL,,,,,
GOOG,,,,,
IBM,,,,,
MSFT,,,,,
FB,,,,,
TWTR,,,,,
NFLX,,,,,
LNKD,,,,,
